# Live Players	Count	%
0	0	0.00%
1	3	6.67%
2	1	2.22%
3	4	8.89%
4	8	17.78%
5	6	13.33%
6	7	15.56%
7	7	15.56%
8	4	8.89%
9	2	4.44%
10	3	6.67%
Total	45	100.00%
		
# Live QB	Count	%
0	7	15.56%
1	29	64.44%
2	9	20.00%
Total	45	100.00%
		
# Live RB	Count	%
0	1	2.22%
1	26	57.78%
2	13	28.89%
3	5	11.11%
Total	45	100.00%
		
# Live W/T	Count	%
0	2	4.44%
1	7	15.56%
2	8	17.78%
3	11	24.44%
4	8	17.78%
5	6	13.33%
6	3	6.67%
Total	45	100.00%
		
# dupes	Count	%
1	34	75.56%
2	8	17.78%
3	3	6.67%
Total	45	100.00%
