# Live Players	Count	%
0	11	4.64%
1	39	16.46%
2	52	21.94%
3	27	11.39%
4	33	13.92%
5	51	21.52%
6	18	7.59%
7	6	2.53%
Total	237	100.00%
		
# Live QB	Count	%
0	145	61.18%
1	92	38.82%
Total	237	100.00%
		
# Live RB	Count	%
0	21	8.86%
1	149	62.87%
2	65	27.43%
3	2	0.84%
Total	237	100.00%
		
# Live W/T	Count	%
0	50	21.10%
1	67	28.27%
2	55	23.21%
3	55	23.21%
4	8	3.38%
5	2	0.84%
Total	237	100.00%
		
# dupes	Count	%
Dead Teams	11	4.64%
1	100	42.19%
2	40	16.88%
3	15	6.33%
4	12	5.06%
5	5	2.11%
12	24	10.13%
30	30	12.66%
Total	237	100.00%
