Username,Position,Player Name,Team
OFFTHESCHNEID,QB,Jayden Daniels,WAS
OFFTHESCHNEID,RB,Austin Ekeler,WAS
OFFTHESCHNEID,RB,Saquon Barkley,PHI
OFFTHESCHNEID,RB,Derrick Henry,BAL
OFFTHESCHNEID,W/T,Zach Ertz,WAS
OFFTHESCHNEID,W/T,Keon Coleman,BUF
OFFTHESCHNEID,W/T,Amari Cooper,BUF
OFFTHESCHNEID,W/T,Terry McLaurin,WAS
OFFTHESCHNEID,W/T,Xavier Worthy,KC
OFFTHESCHNEID,W/T,Travis Kelce,KC
RRIDDER10,QB,Matthew Stafford,LAR
RRIDDER10,QB,Patrick Mahomes,KC
RRIDDER10,RB,Kareem Hunt,KC
RRIDDER10,RB,Kyren Williams,LAR
RRIDDER10,RB,Saquon Barkley,PHI
RRIDDER10,W/T,George Pickens,PIT
RRIDDER10,W/T,DeAndre Hopkins,KC
RRIDDER10,W/T,Nico Collins,HOU
RRIDDER10,W/T,Puka Nacua,LAR
RRIDDER10,W/T,Travis Kelce,KC
MATTYG530,QB,Baker Mayfield,TB
MATTYG530,QB,Patrick Mahomes,KC
MATTYG530,RB,Kareem Hunt,KC
MATTYG530,RB,Joe Mixon,HOU
MATTYG530,RB,Bucky Irving,TB
MATTYG530,W/T,Justin Watson,KC
MATTYG530,W/T,Noah Gray,KC
MATTYG530,W/T,Nico Collins,HOU
MATTYG530,W/T,Mike Evans,TB
MATTYG530,W/T,Amon-Ra St. Brown,DET
RICHRICH99,QB,Jayden Daniels,WAS
RICHRICH99,QB,Jared Goff,DET
RICHRICH99,RB,Kareem Hunt,KC
RICHRICH99,RB,Saquon Barkley,PHI
RICHRICH99,W/T,George Pickens,PIT
RICHRICH99,W/T,Isaiah Likely,BAL
RICHRICH99,W/T,Terry McLaurin,WAS
RICHRICH99,W/T,Ladd McConkey,LAC
RICHRICH99,W/T,Sam LaPorta,DET
RICHRICH99,W/T,Justin Jefferson,MIN
JAH15C,QB,Jayden Daniels,WAS
JAH15C,QB,Jared Goff,DET
JAH15C,RB,James Cook,BUF
JAH15C,RB,Jahmyr Gibbs,DET
JAH15C,W/T,Keon Coleman,BUF
JAH15C,W/T,Courtland Sutton,DEN
JAH15C,W/T,Terry McLaurin,WAS
JAH15C,W/T,Sam LaPorta,DET
JAH15C,W/T,Travis Kelce,KC
JAH15C,W/T,Khalil Shakir,BUF
AGAINSTTHEGRAIN,QB,Baker Mayfield,TB
AGAINSTTHEGRAIN,QB,Jayden Daniels,WAS
AGAINSTTHEGRAIN,RB,Saquon Barkley,PHI
AGAINSTTHEGRAIN,RB,Jahmyr Gibbs,DET
AGAINSTTHEGRAIN,W/T,Tim Patrick,DET
AGAINSTTHEGRAIN,W/T,Zach Ertz,WAS
AGAINSTTHEGRAIN,W/T,Jalen McMillan,TB
AGAINSTTHEGRAIN,W/T,Terry McLaurin,WAS
AGAINSTTHEGRAIN,W/T,Mike Evans,TB
AGAINSTTHEGRAIN,W/T,Puka Nacua,LAR
GOODS,QB,Matthew Stafford,LAR
GOODS,QB,Jayden Daniels,WAS
GOODS,RB,Austin Ekeler,WAS
GOODS,RB,Derrick Henry,BAL
GOODS,RB,Saquon Barkley,PHI
GOODS,W/T,Zach Ertz,WAS
GOODS,W/T,Cooper Kupp,LAR
GOODS,W/T,Terry McLaurin,WAS
GOODS,W/T,Rashod Bateman,BAL
GOODS,W/T,Puka Nacua,LAR
KASHKASH2,QB,Matthew Stafford,LAR
KASHKASH2,QB,Jayden Daniels,WAS
KASHKASH2,RB,Brian Robinson Jr.,WAS
KASHKASH2,RB,Derrick Henry,BAL
KASHKASH2,RB,Saquon Barkley,PHI
KASHKASH2,W/T,Cooper Kupp,LAR
KASHKASH2,W/T,Terry McLaurin,WAS
KASHKASH2,W/T,Rashod Bateman,BAL
KASHKASH2,W/T,Zay Flowers,BAL
KASHKASH2,W/T,Puka Nacua,LAR
AHW152000,QB,Justin Herbert,LAC
AHW152000,QB,Patrick Mahomes,KC
AHW152000,RB,Kareem Hunt,KC
AHW152000,RB,Josh Jacobs,GB
AHW152000,RB,Bucky Irving,TB
AHW152000,RB,Jahmyr Gibbs,DET
AHW152000,W/T,Marvin Mims Jr.,DEN
AHW152000,W/T,Ladd McConkey,LAC
AHW152000,W/T,Xavier Worthy,KC
AHW152000,W/T,Puka Nacua,LAR
DAPOKERNINJA,QB,Jayden Daniels,WAS
DAPOKERNINJA,QB,Patrick Mahomes,KC
DAPOKERNINJA,RB,Kareem Hunt,KC
DAPOKERNINJA,RB,Kyren Williams,LAR
DAPOKERNINJA,RB,Jahmyr Gibbs,DET
DAPOKERNINJA,W/T,DeAndre Hopkins,KC
DAPOKERNINJA,W/T,Hollywood Brown,KC
DAPOKERNINJA,W/T,Terry McLaurin,WAS
DAPOKERNINJA,W/T,Nico Collins,HOU
DAPOKERNINJA,W/T,Puka Nacua,LAR
JFOECKLER,QB,Justin Herbert,LAC
JFOECKLER,QB,Jayden Daniels,WAS
JFOECKLER,RB,James Cook,BUF
JFOECKLER,RB,Jahmyr Gibbs,DET
JFOECKLER,W/T,Quentin Johnston,LAC
JFOECKLER,W/T,Keon Coleman,BUF
JFOECKLER,W/T,Terry McLaurin,WAS
JFOECKLER,W/T,Ladd McConkey,LAC
JFOECKLER,W/T,Khalil Shakir,BUF
JFOECKLER,W/T,Jameson Williams,DET
FANTASYGRINDER,QB,Jayden Daniels,WAS
FANTASYGRINDER,QB,Matthew Stafford,LAR
FANTASYGRINDER,RB,Kyren Williams,LAR
FANTASYGRINDER,RB,Saquon Barkley,PHI
FANTASYGRINDER,RB,Jahmyr Gibbs,DET
FANTASYGRINDER,W/T,Isaiah Likely,BAL
FANTASYGRINDER,W/T,Zay Flowers,BAL
FANTASYGRINDER,W/T,Cooper Kupp,LAR
FANTASYGRINDER,W/T,Ladd McConkey,LAC
FANTASYGRINDER,W/T,Puka Nacua,LAR
FULLYLOADED,QB,Jayden Daniels,WAS
FULLYLOADED,QB,Patrick Mahomes,KC
FULLYLOADED,RB,Joe Mixon,HOU
FULLYLOADED,RB,Kareem Hunt,KC
FULLYLOADED,RB,Josh Jacobs,GB
FULLYLOADED,W/T,Jayden Reed,GB
FULLYLOADED,W/T,Terry McLaurin,WAS
FULLYLOADED,W/T,Xavier Worthy,KC
FULLYLOADED,W/T,Travis Kelce,KC
FULLYLOADED,W/T,Amon-Ra St. Brown,DET
JSWANSON10,QB,Jayden Daniels,WAS
JSWANSON10,QB,Patrick Mahomes,KC
JSWANSON10,RB,J.K. Dobbins,LAC
JSWANSON10,RB,Saquon Barkley,PHI
JSWANSON10,W/T,Joshua Palmer,LAC
JSWANSON10,W/T,Courtland Sutton,DEN
JSWANSON10,W/T,George Pickens,PIT
JSWANSON10,W/T,Cooper Kupp,LAR
JSWANSON10,W/T,Terry McLaurin,WAS
JSWANSON10,W/T,Travis Kelce,KC
COLLINDAKING,QB,Jalen Hurts,PHI
COLLINDAKING,RB,Joe Mixon,HOU
COLLINDAKING,RB,Saquon Barkley,PHI
COLLINDAKING,W/T,Nelson Agholor,BAL
COLLINDAKING,W/T,Jayden Reed,GB
COLLINDAKING,W/T,Isaiah Likely,BAL
COLLINDAKING,W/T,Nico Collins,HOU
COLLINDAKING,W/T,Dallas Goedert,PHI
COLLINDAKING,W/T,Zay Flowers,BAL
COLLINDAKING,W/T,Mark Andrews,BAL
JTENG4500,QB,Matthew Stafford,LAR
JTENG4500,QB,Jayden Daniels,WAS
JTENG4500,RB,Josh Jacobs,GB
JTENG4500,RB,Derrick Henry,BAL
JTENG4500,RB,Jahmyr Gibbs,DET
JTENG4500,W/T,Zach Ertz,WAS
JTENG4500,W/T,DeAndre Hopkins,KC
JTENG4500,W/T,Terry McLaurin,WAS
JTENG4500,W/T,Rashod Bateman,BAL
JTENG4500,W/T,Puka Nacua,LAR
COLORADOGATOR,QB,Baker Mayfield,TB
COLORADOGATOR,QB,Jayden Daniels,WAS
COLORADOGATOR,RB,Rachaad White,TB
COLORADOGATOR,RB,Saquon Barkley,PHI
COLORADOGATOR,RB,Jahmyr Gibbs,DET
COLORADOGATOR,W/T,Cooper Kupp,LAR
COLORADOGATOR,W/T,Cade Otton,TB
COLORADOGATOR,W/T,Jalen McMillan,TB
COLORADOGATOR,W/T,Terry McLaurin,WAS
COLORADOGATOR,W/T,Mike Evans,TB
BERETTAJAMES,QB,Matthew Stafford,LAR
BERETTAJAMES,QB,Jayden Daniels,WAS
BERETTAJAMES,RB,Brian Robinson Jr.,WAS
BERETTAJAMES,RB,Isiah Pacheco,KC
BERETTAJAMES,RB,Derrick Henry,BAL
BERETTAJAMES,RB,Saquon Barkley,PHI
BERETTAJAMES,W/T,Cooper Kupp,LAR
BERETTAJAMES,W/T,Terry McLaurin,WAS
BERETTAJAMES,W/T,Puka Nacua,LAR
BERETTAJAMES,W/T,Jameson Williams,DET
KATZJA,QB,Justin Herbert,LAC
KATZJA,QB,Baker Mayfield,TB
KATZJA,QB,Jayden Daniels,WAS
KATZJA,RB,Kareem Hunt,KC
KATZJA,RB,Kyren Williams,LAR
KATZJA,RB,Derrick Henry,BAL
KATZJA,RB,Saquon Barkley,PHI
KATZJA,W/T,Jalen McMillan,TB
KATZJA,W/T,Jordan Addison,MIN
KATZJA,W/T,Ladd McConkey,LAC
SPENCER7455,QB,Baker Mayfield,TB
SPENCER7455,QB,Jayden Daniels,WAS
SPENCER7455,RB,Austin Ekeler,WAS
SPENCER7455,RB,Rachaad White,TB
SPENCER7455,RB,Derrick Henry,BAL
SPENCER7455,RB,Saquon Barkley,PHI
SPENCER7455,W/T,Ladd McConkey,LAC
SPENCER7455,W/T,Rashod Bateman,BAL
SPENCER7455,W/T,Mike Evans,TB
SPENCER7455,W/T,Puka Nacua,LAR
ECOXER10,QB,Jayden Daniels,WAS
ECOXER10,QB,Patrick Mahomes,KC
ECOXER10,RB,Joe Mixon,HOU
ECOXER10,RB,Jahmyr Gibbs,DET
ECOXER10,W/T,Zach Ertz,WAS
ECOXER10,W/T,DeAndre Hopkins,KC
ECOXER10,W/T,Nico Collins,HOU
ECOXER10,W/T,Terry McLaurin,WAS
ECOXER10,W/T,Xavier Worthy,KC
ECOXER10,W/T,Travis Kelce,KC
TYLER2121,QB,Matthew Stafford,LAR
TYLER2121,QB,Baker Mayfield,TB
TYLER2121,RB,James Cook,BUF
TYLER2121,RB,Saquon Barkley,PHI
TYLER2121,W/T,Cooper Kupp,LAR
TYLER2121,W/T,Terry McLaurin,WAS
TYLER2121,W/T,Amari Cooper,BUF
TYLER2121,W/T,Ladd McConkey,LAC
TYLER2121,W/T,Mike Evans,TB
TYLER2121,W/T,Khalil Shakir,BUF
KENSIGN,QB,Jayden Daniels,WAS
KENSIGN,QB,Jared Goff,DET
KENSIGN,RB,Joe Mixon,HOU
KENSIGN,RB,J.K. Dobbins,LAC
KENSIGN,RB,Jahmyr Gibbs,DET
KENSIGN,W/T,Zach Ertz,WAS
KENSIGN,W/T,Terry McLaurin,WAS
KENSIGN,W/T,Ladd McConkey,LAC
KENSIGN,W/T,Sam LaPorta,DET
KENSIGN,W/T,Jameson Williams,DET
