Username,Position,Player Name,Team
BUSTERSBOYS,QB,Jayden Daniels,WAS
BUSTERSBOYS,QB,Patrick Mahomes,KC
BUSTERSBOYS,RB,Kareem Hunt,KC
BUSTERSBOYS,RB,Bucky Irving,TB
BUSTERSBOYS,RB,Saquon Barkley,PHI
BUSTERSBOYS,W/T,Mike Evans,TB
BUSTERSBOYS,W/T,Dallas Goedert,PHI
BUSTERSBOYS,W/T,Nico Collins,HOU
BUSTERSBOYS,W/T,Xavier Worthy,KC
BUSTERSBOYS,W/T,Travis Kelce,KC
BDS528,QB,Sam Darnold,MIN
BDS528,QB,Jayden Daniels,WAS
BDS528,RB,Kareem Hunt,KC
BDS528,RB,Derrick Henry,BAL
BDS528,RB,Saquon Barkley,PHI
BDS528,W/T,DeAndre Hopkins,KC
BDS528,W/T,T.J. Hockenson,MIN
BDS528,W/T,Dallas Goedert,PHI
BDS528,W/T,Zay Flowers,BAL
BDS528,W/T,Xavier Worthy,KC
DEREKR08,QB,Jayden Daniels,WAS
DEREKR08,QB,Patrick Mahomes,KC
DEREKR08,RB,Kareem Hunt,KC
DEREKR08,RB,Joe Mixon,HOU
DEREKR08,RB,Saquon Barkley,PHI
DEREKR08,W/T,Justin Watson,KC
DEREKR08,W/T,Courtland Sutton,DEN
DEREKR08,W/T,Terry McLaurin,WAS
DEREKR08,W/T,Xavier Worthy,KC
DEREKR08,W/T,Travis Kelce,KC
SLICKSTA,QB,Jayden Daniels,WAS
SLICKSTA,QB,Baker Mayfield,TB
SLICKSTA,RB,J.K. Dobbins,LAC
SLICKSTA,RB,Derrick Henry,BAL
SLICKSTA,RB,Saquon Barkley,PHI
SLICKSTA,W/T,Zach Ertz,WAS
SLICKSTA,W/T,Jalen McMillan,TB
SLICKSTA,W/T,Terry McLaurin,WAS
SLICKSTA,W/T,Mike Evans,TB
SLICKSTA,W/T,Puka Nacua,LAR
TD33DZUL,QB,Jayden Daniels,WAS
TD33DZUL,QB,Patrick Mahomes,KC
TD33DZUL,RB,Josh Jacobs,GB
TD33DZUL,RB,Isiah Pacheco,KC
TD33DZUL,RB,Saquon Barkley,PHI
TD33DZUL,W/T,Jayden Reed,GB
TD33DZUL,W/T,T.J. Hockenson,MIN
TD33DZUL,W/T,Dallas Goedert,PHI
TD33DZUL,W/T,Travis Kelce,KC
TD33DZUL,W/T,Xavier Worthy,KC
SETHFFL,QB,Jayden Daniels,WAS
SETHFFL,QB,Patrick Mahomes,KC
SETHFFL,RB,Samaje Perine,KC
SETHFFL,RB,Bucky Irving,TB
SETHFFL,RB,Saquon Barkley,PHI
SETHFFL,W/T,Nico Collins,HOU
SETHFFL,W/T,Isaiah Likely,BAL
SETHFFL,W/T,Hollywood Brown,KC
SETHFFL,W/T,Dallas Goedert,PHI
SETHFFL,W/T,Xavier Worthy,KC
DELRIENNAS,QB,Jayden Daniels,WAS
DELRIENNAS,RB,Brian Robinson Jr.,WAS
DELRIENNAS,RB,James Cook,BUF
DELRIENNAS,RB,Saquon Barkley,PHI
