Username,Position,Player Name,Team
BWILL3011,QB,Jayden Daniels,WAS
BWILL3011,QB,Jalen Hurts,PHI
BWILL3011,QB,Patrick Mahomes,KC
BWILL3011,RB,Austin Ekeler,WAS
BWILL3011,RB,Saquon Barkley,PHI
BWILL3011,W/T,Cooper Kupp,LAR
BWILL3011,W/T,Terry McLaurin,WAS
BWILL3011,W/T,DeAndre Hopkins,KC
BWILL3011,W/T,Xavier Worthy,KC
BWILL3011,W/T,Travis Kelce,KC
CHUYBMZ24,QB,Jalen Hurts,PHI
CHUYBMZ24,QB,Patrick Mahomes,KC
CHUYBMZ24,RB,Kareem Hunt,KC
CHUYBMZ24,RB,Isiah Pacheco,KC
CHUYBMZ24,RB,Saquon Barkley,PHI
CHUYBMZ24,W/T,Jahan Dotson,PHI
CHUYBMZ24,W/T,JuJu Smith-Schuster,KC
CHUYBMZ24,W/T,Dallas Goedert,PHI
CHUYBMZ24,W/T,Travis Kelce,KC
CHUYBMZ24,W/T,A.J. Brown,PHI
CMLIONS1991,QB,Jalen Hurts,PHI
CMLIONS1991,RB,Kareem Hunt,KC
CMLIONS1991,RB,Saquon Barkley,PHI
CMLIONS1991,W/T,Noah Gray,KC
CMLIONS1991,W/T,Justin Watson,KC
CMLIONS1991,W/T,DeAndre Hopkins,KC
CMLIONS1991,W/T,Xavier Worthy,KC
CMLIONS1991,W/T,DeVonta Smith,PHI
CMLIONS1991,W/T,A.J. Brown,PHI
CMLIONS1991,W/T,Travis Kelce,KC
THEMOOSE54,QB,Josh Allen,BUF
THEMOOSE54,RB,Ty Johnson,BUF
THEMOOSE54,RB,Saquon Barkley,PHI
THEMOOSE54,W/T,Dalton Kincaid,BUF
THEMOOSE54,W/T,Keon Coleman,BUF
THEMOOSE54,W/T,DeVonta Smith,PHI
THEMOOSE54,W/T,Terry McLaurin,WAS
THEMOOSE54,W/T,Nico Collins,HOU
THEMOOSE54,W/T,Sam LaPorta,DET
THEMOOSE54,W/T,A.J. Brown,PHI
PROPMASTERFUNK,QB,Josh Allen,BUF
