Username,Position,Player Name,Team
KEEGS,QB,C.J. Stroud,HOU
KEEGS,RB,Brian Robinson Jr.,WAS
KEEGS,RB,James Cook,BUF
KEEGS,RB,Saquon Barkley,PHI
KEEGS,W/T,Tank Dell,HOU
KEEGS,W/T,Christian Watson,GB
KEEGS,W/T,Ladd McConkey,LAC
KEEGS,W/T,Nico Collins,HOU
KEEGS,W/T,Khalil Shakir,BUF
KEEGS,W/T,Travis Kelce,KC
FOSTERDJ,QB,Jayden Daniels,WAS
FOSTERDJ,QB,Sam Darnold,MIN
FOSTERDJ,RB,James Cook,BUF
FOSTERDJ,RB,Saquon Barkley,PHI
FOSTERDJ,W/T,T.J. Hockenson,MIN
FOSTERDJ,W/T,Rashod Bateman,BAL
FOSTERDJ,W/T,Dallas Goedert,PHI
FOSTERDJ,W/T,Mark Andrews,BAL
FOSTERDJ,W/T,Zay Flowers,BAL
FOSTERDJ,W/T,Khalil Shakir,BUF
DONWIZARD,QB,Josh Allen,BUF
DONWIZARD,RB,Brian Robinson Jr.,WAS
DONWIZARD,RB,James Cook,BUF
DONWIZARD,W/T,Mack Hollins,BUF
DONWIZARD,W/T,Tucker Kraft,GB
DONWIZARD,W/T,Christian Watson,GB
DONWIZARD,W/T,Terry McLaurin,WAS
DONWIZARD,W/T,Dallas Goedert,PHI
DONWIZARD,W/T,Khalil Shakir,BUF
DONWIZARD,W/T,DeVonta Smith,PHI
OXFORDCOMMA,QB,Jayden Daniels,WAS
OXFORDCOMMA,QB,Patrick Mahomes,KC
OXFORDCOMMA,RB,Brian Robinson Jr.,WAS
OXFORDCOMMA,RB,Isiah Pacheco,KC
OXFORDCOMMA,RB,Saquon Barkley,PHI
OXFORDCOMMA,W/T,Noah Gray,KC
OXFORDCOMMA,W/T,Mike Evans,TB
OXFORDCOMMA,W/T,Hollywood Brown,KC
OXFORDCOMMA,W/T,Xavier Worthy,KC
OXFORDCOMMA,W/T,Dallas Goedert,PHI
FERALFOOTBALLER,QB,Russell Wilson,PIT
FERALFOOTBALLER,QB,Jayden Daniels,WAS
FERALFOOTBALLER,QB,Jalen Hurts,PHI
FERALFOOTBALLER,RB,Brian Robinson Jr.,WAS
FERALFOOTBALLER,RB,Isiah Pacheco,KC
FERALFOOTBALLER,W/T,Terry McLaurin,WAS
FERALFOOTBALLER,W/T,Xavier Worthy,KC
FERALFOOTBALLER,W/T,George Pickens,PIT
FERALFOOTBALLER,W/T,Travis Kelce,KC
FERALFOOTBALLER,W/T,A.J. Brown,PHI
RYANM007,QB,Jayden Daniels,WAS
RYANM007,QB,Russell Wilson,PIT
RYANM007,QB,Patrick Mahomes,KC
RYANM007,RB,Najee Harris,PIT
RYANM007,RB,James Cook,BUF
RYANM007,RB,Saquon Barkley,PHI
RYANM007,W/T,Hollywood Brown,KC
RYANM007,W/T,Dalton Kincaid,BUF
RYANM007,W/T,Nico Collins,HOU
RYANM007,W/T,DeAndre Hopkins,KC
SON007,QB,Jayden Daniels,WAS
SON007,RB,Ty Johnson,BUF
SON007,RB,Aaron Jones,MIN
SON007,RB,Saquon Barkley,PHI
SON007,W/T,Zach Ertz,WAS
SON007,W/T,T.J. Hockenson,MIN
SON007,W/T,Terry McLaurin,WAS
SON007,W/T,Dalton Kincaid,BUF
SON007,W/T,Khalil Shakir,BUF
SON007,W/T,DeVonta Smith,PHI
TWINZDADDY007,QB,Jayden Daniels,WAS
TWINZDADDY007,QB,C.J. Stroud,HOU
TWINZDADDY007,RB,Ray Davis,BUF
TWINZDADDY007,RB,David Montgomery,DET
TWINZDADDY007,RB,Saquon Barkley,PHI
TWINZDADDY007,W/T,Terry McLaurin,WAS
TWINZDADDY007,W/T,Jayden Reed,GB
TWINZDADDY007,W/T,Dallas Goedert,PHI
TWINZDADDY007,W/T,Nico Collins,HOU
TWINZDADDY007,W/T,DeVonta Smith,PHI
BEARLY243,QB,Jayden Daniels,WAS
