Username,Position,Player Name,Team
BALLDUNKER,QB,Bo Nix,DEN
BALLDUNKER,QB,Jayden Daniels,WAS
BALLDUNKER,RB,Brian Robinson Jr.,WAS
BALLDUNKER,RB,Kyren Williams,LAR
BALLDUNKER,RB,Saquon Barkley,PHI
BALLDUNKER,W/T,Zach Ertz,WAS
BALLDUNKER,W/T,Nico Collins,HOU
BALLDUNKER,W/T,Terry McLaurin,WAS
BALLDUNKER,W/T,Puka Nacua,LAR
BALLDUNKER,W/T,A.J. Brown,PHI
DA0300,QB,Matthew Stafford,LAR
DA0300,QB,Baker Mayfield,TB
DA0300,QB,Jayden Daniels,WAS
DA0300,RB,Joe Mixon,HOU
DA0300,RB,James Cook,BUF
DA0300,RB,Saquon Barkley,PHI
DA0300,W/T,Terry McLaurin,WAS
DA0300,W/T,Nico Collins,HOU
DA0300,W/T,Jordan Addison,MIN
DA0300,W/T,Puka Nacua,LAR
SCOOTER4514,QB,Jayden Daniels,WAS
SCOOTER4514,QB,Patrick Mahomes,KC
SCOOTER4514,RB,Joe Mixon,HOU
SCOOTER4514,RB,Saquon Barkley,PHI
SCOOTER4514,W/T,DeAndre Hopkins,KC
SCOOTER4514,W/T,George Pickens,PIT
SCOOTER4514,W/T,Amari Cooper,BUF
SCOOTER4514,W/T,Nico Collins,HOU
SCOOTER4514,W/T,Mike Evans,TB
SCOOTER4514,W/T,Puka Nacua,LAR
TURTLELICKER,QB,Jayden Daniels,WAS
TURTLELICKER,QB,Patrick Mahomes,KC
TURTLELICKER,RB,Joe Mixon,HOU
TURTLELICKER,RB,Saquon Barkley,PHI
TURTLELICKER,W/T,George Pickens,PIT
TURTLELICKER,W/T,DeAndre Hopkins,KC
TURTLELICKER,W/T,Cooper Kupp,LAR
TURTLELICKER,W/T,Terry McLaurin,WAS
TURTLELICKER,W/T,Puka Nacua,LAR
TURTLELICKER,W/T,Xavier Worthy,KC
CHATER13,QB,Matthew Stafford,LAR
CHATER13,QB,Jalen Hurts,PHI
CHATER13,RB,Kareem Hunt,KC
CHATER13,RB,Derrick Henry,BAL
CHATER13,W/T,Noah Gray,KC
CHATER13,W/T,T.J. Hockenson,MIN
CHATER13,W/T,Dalton Kincaid,BUF
CHATER13,W/T,Dallas Goedert,PHI
CHATER13,W/T,Puka Nacua,LAR
CHATER13,W/T,Xavier Worthy,KC
ONEWHORLD,QB,Jayden Daniels,WAS
ONEWHORLD,QB,Patrick Mahomes,KC
ONEWHORLD,RB,Kyren Williams,LAR
ONEWHORLD,RB,Saquon Barkley,PHI
ONEWHORLD,W/T,George Pickens,PIT
ONEWHORLD,W/T,Hollywood Brown,KC
ONEWHORLD,W/T,Cooper Kupp,LAR
ONEWHORLD,W/T,Dallas Goedert,PHI
ONEWHORLD,W/T,Xavier Worthy,KC
ONEWHORLD,W/T,Travis Kelce,KC
K11FANTASY,QB,Justin Herbert,LAC
K11FANTASY,QB,Jayden Daniels,WAS
K11FANTASY,RB,Derrick Henry,BAL
K11FANTASY,RB,Saquon Barkley,PHI
K11FANTASY,W/T,Dalton Kincaid,BUF
K11FANTASY,W/T,Jalen McMillan,TB
K11FANTASY,W/T,Dallas Goedert,PHI
K11FANTASY,W/T,Terry McLaurin,WAS
K11FANTASY,W/T,Ladd McConkey,LAC
K11FANTASY,W/T,Mark Andrews,BAL
TINYBUILDZ,QB,Jayden Daniels,WAS
TINYBUILDZ,QB,Patrick Mahomes,KC
TINYBUILDZ,RB,Kareem Hunt,KC
TINYBUILDZ,RB,Derrick Henry,BAL
TINYBUILDZ,W/T,Nelson Agholor,BAL
TINYBUILDZ,W/T,Mack Hollins,BUF
TINYBUILDZ,W/T,Terry McLaurin,WAS
TINYBUILDZ,W/T,Nico Collins,HOU
TINYBUILDZ,W/T,Khalil Shakir,BUF
TINYBUILDZ,W/T,Xavier Worthy,KC
HOODGURU,QB,Jayden Daniels,WAS
HOODGURU,QB,Jalen Hurts,PHI
HOODGURU,RB,Kenneth Gainwell,PHI
HOODGURU,RB,James Cook,BUF
HOODGURU,RB,Derrick Henry,BAL
HOODGURU,W/T,Zach Ertz,WAS
HOODGURU,W/T,Terry McLaurin,WAS
HOODGURU,W/T,Isaiah Likely,BAL
HOODGURU,W/T,Zay Flowers,BAL
HOODGURU,W/T,Justin Jefferson,MIN
BENJAMMIN413,QB,Baker Mayfield,TB
BENJAMMIN413,QB,Jayden Daniels,WAS
BENJAMMIN413,RB,Brian Robinson Jr.,WAS
BENJAMMIN413,RB,Kyren Williams,LAR
BENJAMMIN413,RB,Saquon Barkley,PHI
BENJAMMIN413,W/T,Noah Gray,KC
BENJAMMIN413,W/T,Marvin Mims Jr.,DEN
BENJAMMIN413,W/T,Terry McLaurin,WAS
BENJAMMIN413,W/T,Mike Evans,TB
