Username,Position,Player Name,Team
JFRE09,QB,Jayden Daniels,WAS
JFRE09,QB,Patrick Mahomes,KC
JFRE09,RB,Bucky Irving,TB
JFRE09,RB,David Montgomery,DET
JFRE09,RB,Saquon Barkley,PHI
JFRE09,W/T,Mike Evans,TB
JFRE09,W/T,Terry McLaurin,WAS
JFRE09,W/T,Hollywood Brown,KC
JFRE09,W/T,Xavier Worthy,KC
JFRE09,W/T,Travis Kelce,KC
TOWNESWAY74,QB,Jordan Love,GB
TOWNESWAY74,QB,Jayden Daniels,WAS
TOWNESWAY74,QB,Patrick Mahomes,KC
TOWNESWAY74,RB,Brian Robinson Jr.,WAS
TOWNESWAY74,RB,James Cook,BUF
TOWNESWAY74,RB,Saquon Barkley,PHI
TOWNESWAY74,W/T,Hollywood Brown,KC
TOWNESWAY74,W/T,Terry McLaurin,WAS
TOWNESWAY74,W/T,Nico Collins,HOU
TOWNESWAY74,W/T,Travis Kelce,KC
MATCHOO59,QB,Matthew Stafford,LAR
MATCHOO59,QB,Patrick Mahomes,KC
MATCHOO59,RB,Kyren Williams,LAR
MATCHOO59,RB,Isiah Pacheco,KC
MATCHOO59,RB,Saquon Barkley,PHI
MATCHOO59,W/T,Ladd McConkey,LAC
MATCHOO59,W/T,Cooper Kupp,LAR
MATCHOO59,W/T,Dallas Goedert,PHI
MATCHOO59,W/T,Puka Nacua,LAR
MATCHOO59,W/T,DeAndre Hopkins,KC
DCHARNS,QB,Sam Darnold,MIN
DCHARNS,QB,Patrick Mahomes,KC
DCHARNS,RB,Kareem Hunt,KC
DCHARNS,RB,Saquon Barkley,PHI
DCHARNS,W/T,Terry McLaurin,WAS
DCHARNS,W/T,Noah Gray,KC
DCHARNS,W/T,T.J. Hockenson,MIN
DCHARNS,W/T,Dallas Goedert,PHI
DCHARNS,W/T,Jordan Addison,MIN
DCHARNS,W/T,Travis Kelce,KC
WALLY0390,QB,Jayden Daniels,WAS
WALLY0390,QB,Patrick Mahomes,KC
WALLY0390,RB,Kareem Hunt,KC
WALLY0390,RB,James Cook,BUF
WALLY0390,RB,Saquon Barkley,PHI
WALLY0390,W/T,Terry McLaurin,WAS
WALLY0390,W/T,Keon Coleman,BUF
WALLY0390,W/T,Dallas Goedert,PHI
WALLY0390,W/T,DeAndre Hopkins,KC
WALLY0390,W/T,Travis Kelce,KC
DAACOHEN,QB,Baker Mayfield,TB
DAACOHEN,QB,Patrick Mahomes,KC
DAACOHEN,RB,Bucky Irving,TB
DAACOHEN,RB,Isiah Pacheco,KC
DAACOHEN,RB,Saquon Barkley,PHI
DAACOHEN,W/T,Cooper Kupp,LAR
DAACOHEN,W/T,Terry McLaurin,WAS
DAACOHEN,W/T,Mike Evans,TB
DAACOHEN,W/T,DeAndre Hopkins,KC
DAACOHEN,W/T,Puka Nacua,LAR
JOEYISPORTS,QB,Jayden Daniels,WAS
JOEYISPORTS,QB,Sam Darnold,MIN
JOEYISPORTS,RB,Kyren Williams,LAR
JOEYISPORTS,RB,Brian Robinson Jr.,WAS
JOEYISPORTS,RB,Saquon Barkley,PHI
JOEYISPORTS,W/T,Ladd McConkey,LAC
JOEYISPORTS,W/T,George Pickens,PIT
JOEYISPORTS,W/T,Nico Collins,HOU
JOEYISPORTS,W/T,Jameson Williams,DET
JOEYISPORTS,W/T,A.J. Brown,PHI
DAVEYDAVE,QB,Jayden Daniels,WAS
DAVEYDAVE,QB,Patrick Mahomes,KC
DAVEYDAVE,RB,Joe Mixon,HOU
DAVEYDAVE,RB,Saquon Barkley,PHI
DAVEYDAVE,W/T,Noah Gray,KC
