Username,Position,Player Name,Team
RICKRASSIDY37,QB,Jalen Hurts,PHI
RICKRASSIDY37,RB,Samaje Perine,KC
RICKRASSIDY37,RB,Kenneth Gainwell,PHI
RICKRASSIDY37,RB,Saquon Barkley,PHI
RICKRASSIDY37,W/T,Hollywood Brown,KC
RICKRASSIDY37,W/T,Dallas Goedert,PHI
RICKRASSIDY37,W/T,Xavier Worthy,KC
RICKRASSIDY37,W/T,DeVonta Smith,PHI
RICKRASSIDY37,W/T,A.J. Brown,PHI
RICKRASSIDY37,W/T,Travis Kelce,KC
THEREALFANTASYJIMTHORPE,QB,Jalen Hurts,PHI
THEREALFANTASYJIMTHORPE,RB,Kareem Hunt,KC
THEREALFANTASYJIMTHORPE,RB,Isiah Pacheco,KC
THEREALFANTASYJIMTHORPE,RB,Saquon Barkley,PHI
THEREALFANTASYJIMTHORPE,W/T,Hollywood Brown,KC
THEREALFANTASYJIMTHORPE,W/T,Dallas Goedert,PHI
THEREALFANTASYJIMTHORPE,W/T,Xavier Worthy,KC
THEREALFANTASYJIMTHORPE,W/T,Travis Kelce,KC
THEREALFANTASYJIMTHORPE,W/T,DeVonta Smith,PHI
THEREALFANTASYJIMTHORPE,W/T,A.J. Brown,PHI
JACKER6774,QB,Jayden Daniels,WAS
JACKER6774,QB,Patrick Mahomes,KC
JACKER6774,QB,Jalen Hurts,PHI
JACKER6774,RB,Kareem Hunt,KC
JACKER6774,RB,Saquon Barkley,PHI
JACKER6774,W/T,Keon Coleman,BUF
JACKER6774,W/T,Terry McLaurin,WAS
JACKER6774,W/T,Hollywood Brown,KC
JACKER6774,W/T,DeVonta Smith,PHI
JACKER6774,W/T,A.J. Brown,PHI
PZARB23,QB,Jayden Daniels,WAS
PZARB23,QB,Patrick Mahomes,KC
PZARB23,RB,Isiah Pacheco,KC
PZARB23,RB,Saquon Barkley,PHI
PZARB23,W/T,DeAndre Hopkins,KC
PZARB23,W/T,Terry McLaurin,WAS
PZARB23,W/T,Dallas Goedert,PHI
PZARB23,W/T,Xavier Worthy,KC
PZARB23,W/T,Travis Kelce,KC
PZARB23,W/T,DeVonta Smith,PHI
JSUENXKF,QB,Patrick Mahomes,KC
JSUENXKF,QB,Jalen Hurts,PHI
JSUENXKF,RB,Brian Robinson Jr.,WAS
JSUENXKF,RB,Joe Mixon,HOU
JSUENXKF,RB,Saquon Barkley,PHI
JSUENXKF,W/T,Noah Gray,KC
JSUENXKF,W/T,Terry McLaurin,WAS
JSUENXKF,W/T,Dallas Goedert,PHI
JSUENXKF,W/T,Xavier Worthy,KC
JSUENXKF,W/T,Travis Kelce,KC
PTALBS,QB,Jayden Daniels,WAS
PTALBS,RB,Kyren Williams,LAR
PTALBS,RB,James Cook,BUF
PTALBS,RB,Saquon Barkley,PHI
PTALBS,RB,Derrick Henry,BAL
PTALBS,W/T,Zach Ertz,WAS
PTALBS,W/T,Terry McLaurin,WAS
PTALBS,W/T,Isaiah Likely,BAL
PTALBS,W/T,Rashod Bateman,BAL
PTALBS,W/T,Puka Nacua,LAR
D064,QB,Jalen Hurts,PHI
D064,RB,Brian Robinson Jr.,WAS
D064,RB,James Cook,BUF
D064,RB,Saquon Barkley,PHI
D064,W/T,Jahan Dotson,PHI
D064,W/T,Terry McLaurin,WAS
D064,W/T,Dalton Kincaid,BUF
D064,W/T,Amari Cooper,BUF
D064,W/T,Sam LaPorta,DET
D064,W/T,DeVonta Smith,PHI
GRIFF384,QB,Jared Goff,DET
GRIFF384,QB,Jalen Hurts,PHI
GRIFF384,RB,Kareem Hunt,KC
GRIFF384,RB,Joe Mixon,HOU
GRIFF384,RB,Saquon Barkley,PHI
GRIFF384,W/T,Zach Ertz,WAS
GRIFF384,W/T,Terry McLaurin,WAS
GRIFF384,W/T,DeAndre Hopkins,KC
GRIFF384,W/T,Sam LaPorta,DET
GRIFF384,W/T,A.J. Brown,PHI
STONETHECOACH,QB,Jalen Hurts,PHI
STONETHECOACH,QB,Josh Allen,BUF
STONETHECOACH,RB,Joe Mixon,HOU
STONETHECOACH,RB,Saquon Barkley,PHI
STONETHECOACH,W/T,Zach Ertz,WAS
STONETHECOACH,W/T,Dalton Kincaid,BUF
STONETHECOACH,W/T,Terry McLaurin,WAS
STONETHECOACH,W/T,Khalil Shakir,BUF
STONETHECOACH,W/T,Puka Nacua,LAR
STONETHECOACH,W/T,DeVonta Smith,PHI
LIKEAROCK,QB,Jayden Daniels,WAS
LIKEAROCK,QB,Patrick Mahomes,KC
LIKEAROCK,RB,Isiah Pacheco,KC
LIKEAROCK,RB,Saquon Barkley,PHI
LIKEAROCK,RB,Jahmyr Gibbs,DET
LIKEAROCK,W/T,Cooper Kupp,LAR
LIKEAROCK,W/T,Terry McLaurin,WAS
LIKEAROCK,W/T,Hollywood Brown,KC
LIKEAROCK,W/T,DeAndre Hopkins,KC
LIKEAROCK,W/T,Xavier Worthy,KC
SPYKEGG,QB,Jalen Hurts,PHI
SPYKEGG,RB,Austin Ekeler,WAS
SPYKEGG,RB,Derrick Henry,BAL
SPYKEGG,RB,Saquon Barkley,PHI
SPYKEGG,W/T,Cooper Kupp,LAR
SPYKEGG,W/T,Dalton Kincaid,BUF
SPYKEGG,W/T,Terry McLaurin,WAS
SPYKEGG,W/T,Khalil Shakir,BUF
SPYKEGG,W/T,Xavier Worthy,KC
SPYKEGG,W/T,A.J. Brown,PHI
CHEEZE24SKUL,QB,Jalen Hurts,PHI
CHEEZE24SKUL,RB,Samaje Perine,KC
CHEEZE24SKUL,RB,Austin Ekeler,WAS
CHEEZE24SKUL,RB,Saquon Barkley,PHI
CHEEZE24SKUL,W/T,Terry McLaurin,WAS
CHEEZE24SKUL,W/T,Hollywood Brown,KC
CHEEZE24SKUL,W/T,Dallas Goedert,PHI
CHEEZE24SKUL,W/T,Xavier Worthy,KC
CHEEZE24SKUL,W/T,DeVonta Smith,PHI
CHEEZE24SKUL,W/T,A.J. Brown,PHI
GEOFF009,QB,Jayden Daniels,WAS
GEOFF009,QB,Jalen Hurts,PHI
GEOFF009,RB,Isiah Pacheco,KC
GEOFF009,RB,Saquon Barkley,PHI
GEOFF009,W/T,Terry McLaurin,WAS
GEOFF009,W/T,DeAndre Hopkins,KC
GEOFF009,W/T,Hollywood Brown,KC
GEOFF009,W/T,Nico Collins,HOU
GEOFF009,W/T,DeVonta Smith,PHI
GEOFF009,W/T,A.J. Brown,PHI
ZAEMANEE,QB,Jayden Daniels,WAS
ZAEMANEE,QB,Jalen Hurts,PHI
ZAEMANEE,RB,Derrick Henry,BAL
ZAEMANEE,RB,Saquon Barkley,PHI
ZAEMANEE,W/T,Cooper Kupp,LAR
ZAEMANEE,W/T,Terry McLaurin,WAS
ZAEMANEE,W/T,Rashod Bateman,BAL
ZAEMANEE,W/T,Xavier Worthy,KC
ZAEMANEE,W/T,Nico Collins,HOU
ZAEMANEE,W/T,A.J. Brown,PHI
