# Live Players	Count	%
0	0	0.00%
1	3	6.67%
2	1	2.22%
3	4	8.89%
4	8	17.78%
5	6	13.33%
6	7	15.56%
7	7	15.56%
8	4	8.89%
9	2	4.44%
10	3	6.67%
Total	45	100.00%
		
# Live QB	Count	%
0	7	15.56%
1	29	64.44%
2	9	20.00%
Total	45	100.00%
		
# Live RB	Count	%
0	1	2.22%
1	26	57.78%
2	13	28.89%
3	5	11.11%
Total	45	100.00%
		
# Live W/T	Count	%
0	2	4.44%
1	7	15.56%
2	8	17.78%
3	11	24.44%
4	8	17.78%
5	6	13.33%
6	3	6.67%
Total	45	100.00%
		
Count of Unique Set of Live Players	Count	%
1	34	75.56%
2	8	17.78%
3	3	6.67%
Total	45	100.00%
		
Can Field Full Team	Count	%
Yes	27	60.00%
No	18	40.00%
Total	45	100.00%
		
Projection	Proj.	
Max	87.35	
Min	14.90	
Average	71.28	
Median	80.05	
Count	45	
		
Projected Place 	Count	%
1	4	8.89%
5	2	4.44%
7	1	2.22%
8	1	2.22%
9	2	4.44%
11	2	4.44%
13	2	4.44%
15	2	4.44%
17	1	2.22%
18	1	2.22%
19	1	2.22%
20	1	2.22%
21	1	2.22%
22	1	2.22%
23	1	2.22%
24	1	2.22%
25	1	2.22%
26	1	2.22%
27	1	2.22%
28	2	4.44%
30	1	2.22%
31	3	6.67%
34	1	2.22%
35	1	2.22%
36	1	2.22%
37	1	2.22%
38	1	2.22%
39	1	2.22%
40	2	4.44%
42	1	2.22%
43	2	4.44%
45	1	2.22%
Total	45	100.00%
		
# Teams That Cover This Team	Count	%
0	18	40.00%
1	6	13.33%
2	2	4.44%
3	3	6.67%
4	2	4.44%
7	3	6.67%
8	1	2.22%
9	2	4.44%
11	1	2.22%
17	1	2.22%
19	2	4.44%
21	1	2.22%
22	1	2.22%
43	2	4.44%
Total	45	100.00%
