# Live Players	Count	%
0	8	6.45%
1	19	15.32%
2	23	18.55%
3	25	20.16%
4	14	11.29%
5	19	15.32%
6	13	10.48%
7	3	2.42%
Total	124	100.00%
		
# Live QB	Count	%
0	59	47.58%
1	63	50.81%
2	2	1.61%
Total	124	100.00%
		
# Live RB	Count	%
0	18	14.52%
1	76	61.29%
2	26	20.97%
3	4	3.23%
Total	124	100.00%
		
# Live W/T	Count	%
0	29	23.39%
1	36	29.03%
2	35	28.23%
3	19	15.32%
4	5	4.03%
Total	124	100.00%
		
# dupes	Count	%
Dead Teams	8	6.45%
1	63	50.81%
2	24	19.35%
3	6	4.84%
4	4	3.23%
5	5	4.03%
14	14	11.29%
Total	124	100.00%
		
Can Field Full Team	Count	%
Yes	32	25.81%
No	92	74.19%
Total	124	100.00%
		
Projection	Proj.	
Max	87.35	
Min	0.00	
Average	47.93	
Median	48.60	
Count	124	
