Username,Position,Player Name,Team
GRIFF384,QB,Jared Goff,DET
GRIFF384,QB,Jalen Hurts,PHI
GRIFF384,RB,Joe Mixon,HOU
GRIFF384,RB,Kareem Hunt,KC
GRIFF384,RB,Saquon Barkley,PHI
GRIFF384,W/T,Isaiah Likely,BAL
GRIFF384,W/T,Dallas Goedert,PHI
GRIFF384,W/T,Hollywood Brown,KC
GRIFF384,W/T,Xavier Worthy,KC
GRIFF384,W/T,Sam LaPorta,DET
DREAMINGOFSUNDAYS,QB,Jayden Daniels,WAS
DREAMINGOFSUNDAYS,QB,Jalen Hurts,PHI
DREAMINGOFSUNDAYS,RB,Joe Mixon,HOU
DREAMINGOFSUNDAYS,RB,Saquon Barkley,PHI
DREAMINGOFSUNDAYS,W/T,Terry McLaurin,WAS
DREAMINGOFSUNDAYS,W/T,Dalton Kincaid,BUF
DREAMINGOFSUNDAYS,W/T,Dallas Goedert,PHI
DREAMINGOFSUNDAYS,W/T,Khalil Shakir,BUF
DREAMINGOFSUNDAYS,W/T,Nico Collins,HOU
DREAMINGOFSUNDAYS,W/T,DeVonta Smith,PHI
RAISEIT77,QB,Jayden Daniels,WAS
RAISEIT77,QB,Jalen Hurts,PHI
RAISEIT77,RB,Kareem Hunt,KC
RAISEIT77,RB,Saquon Barkley,PHI
RAISEIT77,W/T,Jahan Dotson,PHI
RAISEIT77,W/T,Terry McLaurin,WAS
RAISEIT77,W/T,Hollywood Brown,KC
RAISEIT77,W/T,Xavier Worthy,KC
RAISEIT77,W/T,A.J. Brown,PHI
RAISEIT77,W/T,Amon-Ra St. Brown,DET
MPV4MVP,QB,Patrick Mahomes,KC
MPV4MVP,RB,Brian Robinson Jr.,WAS
MPV4MVP,RB,Isiah Pacheco,KC
MPV4MVP,RB,Saquon Barkley,PHI
MPV4MVP,W/T,Noah Gray,KC
MPV4MVP,W/T,Hollywood Brown,KC
MPV4MVP,W/T,Terry McLaurin,WAS
MPV4MVP,W/T,Dallas Goedert,PHI
MPV4MVP,W/T,Xavier Worthy,KC
MPV4MVP,W/T,A.J. Brown,PHI
KG1584,QB,Patrick Mahomes,KC
KG1584,QB,Jalen Hurts,PHI
KG1584,RB,Kareem Hunt,KC
KG1584,RB,Joe Mixon,HOU
KG1584,RB,Saquon Barkley,PHI
KG1584,W/T,Zach Ertz,WAS
KG1584,W/T,Mark Andrews,BAL
KG1584,W/T,Dallas Goedert,PHI
KG1584,W/T,Travis Kelce,KC
KG1584,W/T,A.J. Brown,PHI
SMITRADAMOS,QB,Josh Allen,BUF
SMITRADAMOS,RB,Ty Johnson,BUF
SMITRADAMOS,RB,Saquon Barkley,PHI
SMITRADAMOS,W/T,Curtis Samuel,BUF
SMITRADAMOS,W/T,Keon Coleman,BUF
SMITRADAMOS,W/T,Terry McLaurin,WAS
SMITRADAMOS,W/T,Amari Cooper,BUF
SMITRADAMOS,W/T,Khalil Shakir,BUF
SMITRADAMOS,W/T,Xavier Worthy,KC
SMITRADAMOS,W/T,Nico Collins,HOU
BARNABY32,QB,Jalen Hurts,PHI
BARNABY32,QB,Josh Allen,BUF
BARNABY32,RB,Saquon Barkley,PHI
BARNABY32,RB,Jahmyr Gibbs,DET
BARNABY32,W/T,Tim Patrick,DET
BARNABY32,W/T,Dalton Kincaid,BUF
BARNABY32,W/T,Keon Coleman,BUF
BARNABY32,W/T,Amari Cooper,BUF
BARNABY32,W/T,Dallas Goedert,PHI
BARNABY32,W/T,A.J. Brown,PHI
NATENZO,QB,Patrick Mahomes,KC
NATENZO,QB,Josh Allen,BUF
NATENZO,RB,James Cook,BUF
NATENZO,RB,Saquon Barkley,PHI
NATENZO,W/T,Justin Watson,KC
NATENZO,W/T,Keon Coleman,BUF
NATENZO,W/T,Amari Cooper,BUF
NATENZO,W/T,Terry McLaurin,WAS
NATENZO,W/T,Khalil Shakir,BUF
NATENZO,W/T,Xavier Worthy,KC
BRYANH889,QB,Jalen Hurts,PHI
BRYANH889,QB,Patrick Mahomes,KC
BRYANH889,RB,Kenneth Gainwell,PHI
BRYANH889,RB,Kareem Hunt,KC
BRYANH889,RB,Saquon Barkley,PHI
BRYANH889,W/T,DeAndre Hopkins,KC
BRYANH889,W/T,Dallas Goedert,PHI
BRYANH889,W/T,DeVonta Smith,PHI
BRYANH889,W/T,Travis Kelce,KC
BRYANH889,W/T,A.J. Brown,PHI
GOLIATH,QB,Jayden Daniels,WAS
GOLIATH,QB,Josh Allen,BUF
GOLIATH,RB,James Cook,BUF
GOLIATH,RB,Saquon Barkley,PHI
GOLIATH,W/T,Dalton Kincaid,BUF
GOLIATH,W/T,Terry McLaurin,WAS
GOLIATH,W/T,Dallas Goedert,PHI
GOLIATH,W/T,Khalil Shakir,BUF
GOLIATH,W/T,Xavier Worthy,KC
GOLIATH,W/T,DeVonta Smith,PHI
TJCHIP28,QB,Jalen Hurts,PHI
TJCHIP28,RB,Joe Mixon,HOU
TJCHIP28,RB,Saquon Barkley,PHI
TJCHIP28,W/T,Mack Hollins,BUF
TJCHIP28,W/T,Dalton Kincaid,BUF
