Username,Position,Player Name,Team
KGMAKESUQUIT,QB,Jalen Hurts,PHI
KGMAKESUQUIT,QB,Patrick Mahomes,KC
KGMAKESUQUIT,RB,Kenneth Gainwell,PHI
KGMAKESUQUIT,RB,Joe Mixon,HOU
KGMAKESUQUIT,RB,Kareem Hunt,KC
KGMAKESUQUIT,W/T,Dallas Goedert,PHI
KGMAKESUQUIT,W/T,Xavier Worthy,KC
KGMAKESUQUIT,W/T,Travis Kelce,KC
KGMAKESUQUIT,W/T,A.J. Brown,PHI
KGMAKESUQUIT,W/T,Amon-Ra St. Brown,DET
JGAMB2727,QB,Josh Allen,BUF
JGAMB2727,RB,James Cook,BUF
JGAMB2727,RB,Saquon Barkley,PHI
JGAMB2727,W/T,Amari Cooper,BUF
JGAMB2727,W/T,Dalton Kincaid,BUF
JGAMB2727,W/T,Keon Coleman,BUF
JGAMB2727,W/T,Nico Collins,HOU
JGAMB2727,W/T,Khalil Shakir,BUF
JGAMB2727,W/T,Dallas Goedert,PHI
JGAMB2727,W/T,A.J. Brown,PHI
PSX120,QB,Jayden Daniels,WAS
PSX120,RB,Brian Robinson Jr.,WAS
PSX120,RB,Derrick Henry,BAL
PSX120,RB,Saquon Barkley,PHI
PSX120,W/T,Olamide Zaccheaus,WAS
PSX120,W/T,Zay Flowers,BAL
PSX120,W/T,Terry McLaurin,WAS
PSX120,W/T,Dallas Goedert,PHI
PSX120,W/T,Xavier Worthy,KC
PSX120,W/T,DeVonta Smith,PHI
HOSS4300,QB,Jalen Hurts,PHI
HOSS4300,RB,Isiah Pacheco,KC
HOSS4300,RB,Saquon Barkley,PHI
HOSS4300,W/T,Jahan Dotson,PHI
HOSS4300,W/T,JuJu Smith-Schuster,KC
HOSS4300,W/T,Isaiah Likely,BAL
HOSS4300,W/T,Rashod Bateman,BAL
HOSS4300,W/T,Dallas Goedert,PHI
HOSS4300,W/T,Travis Kelce,KC
HOSS4300,W/T,A.J. Brown,PHI
BRADY22,QB,Jayden Daniels,WAS
BRADY22,QB,Jalen Hurts,PHI
BRADY22,RB,Joe Mixon,HOU
BRADY22,RB,Saquon Barkley,PHI
BRADY22,W/T,Zach Ertz,WAS
BRADY22,W/T,Cooper Kupp,LAR
BRADY22,W/T,Mark Andrews,BAL
BRADY22,W/T,Dallas Goedert,PHI
BRADY22,W/T,DeVonta Smith,PHI
BRADY22,W/T,A.J. Brown,PHI
DABILLS,QB,Jayden Daniels,WAS
DABILLS,QB,Jalen Hurts,PHI
DABILLS,RB,Brian Robinson Jr.,WAS
DABILLS,RB,Kyren Williams,LAR
DABILLS,RB,Saquon Barkley,PHI
DABILLS,RB,Jahmyr Gibbs,DET
DABILLS,W/T,Terry McLaurin,WAS
DABILLS,W/T,Nico Collins,HOU
DABILLS,W/T,Puka Nacua,LAR
